Data,Model,Type,train_size,seed,best_ll,ground_ll,THD,node_types,edges,SHD,Recall,Precision
G5,LG,Fixed,1000,37,-4267.7377539237905,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,47,-4272.176279603575,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,57,-4266.38611205332,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,67,-4279.43955689936,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,77,-4268.581290552356,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,87,-4284.655927712938,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,97,-4275.952821898806,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,107,-4273.57421373939,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,117,-4265.876090367153,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,1000,127,-4273.290638823386,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
